,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,6.3
2,0.0,2.1,0.0,0.0,3.5,0.0,0.0,6.8,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,4.8,0.0,5.8,0.0,0.0,0.0,0.0,0.0
4,0.0,3.1,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,6.4,0.0
5,0.0,0.0,0.0,0.0,2.3,0.0,3.1,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,5.3,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0
7,0.0,0.0,2.1,0.0,5.2,0.0,0.0,0.0,2.0,6.3,5.3,0.0
8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,6.7,4.8
10,0.0,0.0,3.9,4.3,5.1,0.0,0.0,0.0,2.7,0.0,0.0,0.0
11,6.6,0.0,5.1,0.0,0.0,2.4,6.3,0.0,0.0,0.0,0.0,0.0
12,2.5,0.0,2.4,0.0,0.0,0.0,4.9,0.0,0.0,0.0,5.3,6.7
13,0.0,0.0,5.2,0.0,0.0,4.8,5.1,0.0,0.0,3.7,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0
16,0.0,0.0,5.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,5.3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3.1,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,5.4
20,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,3.3,0.0,0.0
21,5.9,0.0,0.0,0.0,0.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,4.1,0.0,2.1
23,0.0,0.0,0.0,0.0,0.0,0.0,2.3,5.4,0.0,0.0,0.0,0.0
24,2.5,0.0,0.0,0.0,0.0,0.0,5.9,0.0,4.5,0.0,0.0,0.0
25,0.0,0.0,6.6,0.0,0.0,0.0,6.2,0.0,2.5,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0
27,5.1,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,3.0,3.1,2.2
28,0.0,2.8,0.0,3.9,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0
29,3.5,,0.0,0.0,0.0,4.1,0.0,0.0,0.0,3.4,0.0,0.0
30,0.0,,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,,0.0,,0.0,,3.5,0.0,,0.0,,0.0
